body_part,name,goal,equipment,video_url
다리,바벨 스쿼트,웨이트,헬스장,https://youtube.com/shorts/vqxnyPCnxE8?si=MtteLhS6U8TJZD9e
다리,백런,웨이트,맨몸,https://youtube.com/shorts/uFf5ZNu4Vm0?si=AtwkHeCT-tE6U7MF
다리,레그 프레스,웨이트,헬스장,https://youtube.com/shorts/x3mv36_qcnw?si=_tCzr5xq50HPLeWA
다리,레그컬,웨이트,헬스장,https://youtube.com/shorts/CTVF6Z_wvT4?si=sfbvdgM767DXjsYy
다리,브이 스쿼트,웨이트,헬스장,https://youtube.com/shorts/EUdzjtpyQHc?si=J8dh_O7KhTovvmZN
다리,힙 어브덕션,웨이트,헬스장,https://youtube.com/shorts/re5tdjs-tK8?si=8jX3e6CBi4xrYZmK
다리,원 레그 데드리프트,웨이트,헬스장,https://youtube.com/shorts/knn1J4k66Lo?si=wUrZTptrRO0kgmwp
다리,박스점프,웨이트,소도구,https://youtube.com/shorts/grR_Y4ReoSQ?si=i1Oo0VksgUgk-6iN
다리,밴드 스쿼트,웨이트,소도구,https://youtube.com/shorts/UQCyELRq1N8?si=OYVw00tLcee85ErL
다리,힙 익스텐션,웨이트,맨몸,https://youtube.com/shorts/yYTrep_Pi5s?si=b09QMfkNVF-XjPg2
다리,사이드킥백,웨이트,맨몸,https://youtube.com/shorts/nORLCDC_sG8?si=kT1lDfOkZckJbn4I
다리,햄스트링 폼롤러,웨이트,소도구,https://youtube.com/shorts/ZHkAYKxpYlY?si=Dj5FfX-ilyDO285z
다리,힙 폼롤러,웨이트,소도구,https://youtube.com/shorts/6WsWaAyBm0M?si=3e1Eea6j5UTtBcA2
팔,리스트롤러,웨이트,소도구,https://youtube.com/shorts/xHN1ECUoDCE?si=Ek8NCr4bqDQqlLSU
팔,바벨 리스트컬,웨이트,헬스장,https://youtube.com/shorts/bhiCufB2mIs?si=tO9M_zCBvASehK0s
팔,덤벨 리스트컬,웨이트,헬스장,https://youtube.com/shorts/EXb9O0r5e7U?si=YUJ77oN8CGfVhrI7
팔,스탠딩 케이블컬,웨이트,헬스장,https://youtube.com/shorts/eYzHJO6_tNA?si=Wcu7trVSs0cKqV1A
팔,원 암 케이블 킥백,웨이트,헬스장,https://youtube.com/shorts/x1Jk4umoZ8I?si=Q6H_NGnQzwlm1Cpo
팔,라잉 트리셉스 익스텐션,웨이트,맨몸,https://www.youtube.com/shorts/Vtfuh3kHpm8
팔,오버헤드 트립셉스 익스텐션,웨이트,맨몸,https://youtube.com/shorts/XscxIrPLTDo?si=aaWdX0VA69L36y06
팔,벤치 딥스,웨이트,소도구,https://youtube.com/shorts/bCUYEaax678?si=uC9Mz1tIHF5DF0No
팔,밴드 트라이셉스 킥백,웨이트,소도구,https://youtu.be/ICySRCR2xKA?si=EsThlu5sgCZ2aYvP
팔,케이블 트라이셉스 푸쉬다운,웨이트,헬스장,https://youtube.com/shorts/AoVgQIXOUTc?si=wPQ0ThjFEUFblON2
팔,원암 덤벨 킥백,웨이트,맨몸,https://www.youtube.com/shorts/RMnMVr8_nDE
팔,이두컬,웨이트,헬스장,https://youtube.com/shorts/5QXQbhho43Y?si=ECVgYtpz0Xu4P6fy
팔,월 푸쉬업,웨이트,맨몸,https://youtube.com/shorts/vnpA0wK7uuc?si=SH-AI5nWMYU0V1lz
가슴,푸쉬업,웨이트,맨몸,https://youtube.com/shorts/tLP4k0JKI8Q?si=yIkhHnom5KA65nSz
가슴,니 푸쉬업,웨이트,맨몸,https://youtube.com/shorts/2vNgzt8zKSU?si=ZDyb21wGeasojMhL
가슴,아처 푸쉬업,웨이트,맨몸,https://youtube.com/shorts/hqlmkGMDWiY?si=8NDjPgGlSmx3pqGl
가슴,체스트 프레스,웨이트,맨몸,https://youtu.be/-V-Rdcn_ok8?si=_QInCfkfyK5NbqOR&t=591
가슴,체스트 플라이,웨이트,맨몸,https://youtu.be/-V-Rdcn_ok8?si=QRXAJtUCo3KZ4GFx&t=688
가슴,덤벨 플라이,웨이트,소도구,https://youtube.com/shorts/Kzqq8K3c8B8?si=u4g2IJrws7eCFroG
